;name;address;found phones;found emails;linkedin;facebook;instagram;Age Care;Domestic Assistance;Personal Care;Nursing;Homecare package;Support Workers;Career;Support Coordination;NDIS;Plan management
https://myintegra.com.au;;;['1800696347'];[];['https://linkedin.com/company/17875717'];['https://facebook.com/myintegralife'];['https://instagram.com/myintegralife/'];False;False;False;False;False;False;True;True;True;True
https://enabled4life.com.au;;"Address
";['611300667454', '13002066720454'];['paymyinvoice@enabled4life.com.au'];['https://au.linkedin.com/company/enabled4life-ndis-plan-management%20'];['https://facebook.com/Enabled4Life/community/'];['https://instagram.com/enabled4life'];False;False;False;False;False;False;False;False;True;True
https://acerehabsolutions.com;;AddressPO BOX 217 Concord West, Sydney NSW 2138   ;[];[];['https://linkedin.com/company/ace-rehab-solutions'];[];['https://instagram.com/acerehabsolutions/'];False;False;False;False;False;False;False;False;True;False
https://tallwoodscorner.com;;;;;;;;;;;;;;;;;
https://interhealthcare.com.au;;;['61731866440'];[];['https://linkedin.com/company/interhealthcare/'];[];[];False;False;False;False;False;False;True;False;False;False
https://bluesky.org.au;;;['0266511788', '0266514688'];['contact@bluesky.org.au'];[];['https://facebook.com/Mid-Coast-Communities-917234011641966/?fref=ts'];[];False;False;False;False;False;False;False;True;True;True
https://brighteraccess.com.au;;;[];[];[];['https://facebook.com/brighteraccess'];['https://instagram.com/brighteraccess/'];False;False;False;False;False;False;True;False;True;True
https://achieveaustralia.org.au;;;[];[];['https://linkedin.com/company/achieve-australia'];['https://facebook.com/AchieveAus'];['https://instagram.com/achieve.australia/'];False;False;False;False;False;False;True;True;True;False
https://iahc.com.au;;;;;;;;;;;;;;;;;
https://bushlandhealth.com.au;;;;;;;;;;;;;;;;;
https://apoio.com.au;;;['1300136999'];[];['https://linkedin.com/company/apoioau/'];['https://facebook.com/Apoio.au/'];['https://instagram.com/apoio.au/'];False;False;False;False;False;False;False;True;True;True
https://ilsau.com.au;;;[];[];[];[];[];False;False;False;False;False;False;False;False;False;False
https://candidcareservices.com.au;;;['0402652649', '200402652646'];['info@candidcareservices.com.au'];[];[];['https://instagram.com/candid_care_services/'];False;False;True;False;False;False;False;False;True;False
https://caresscare.com.au;;;[];[];[];['https://facebook.com/caresscarensw/'];['https://instagram.com/caress_care_nsw/'];False;False;False;False;False;False;False;False;True;False
https://axcessdisability.com.au;;;;;;;;;;;;;;;;;
https://flexatee.com;;;[];[];[];['https://facebook.com/flexatee'];['https://instagram.com/flex_a_tee/'];False;False;True;False;False;False;False;False;True;False
https://hoyshealth.com.au;;;['61266583878', '61266527355', '0266527355'];['nat@hoyshealth.com.au', 'admin@hoysworkhealth.com.au?subject=Work%20Health%20Enquiry', 'reception@hoyshealth.com.au?subject=Hoys%20Enquiry'];[];['https://facebook.com/Hoyshealth/'];['https://instagram.com/hoyshealth/'];False;False;False;False;False;False;False;False;True;False
https://anglicare.org.au;;;[];[];['https://linkedin.com/company/anglicare-sydney'];['https://facebook.com/ANGLICARESydney'];['http://instagram.com/anglicaresydney/'];False;False;False;True;False;False;True;False;True;False
https://globalcarestaff.com;;;['1800009292'];[];['https://au.linkedin.com/company/global-disability-and-healthcare-services'];['https://facebook.com/globalcarestaff/'];['https://instagram.com'];False;False;False;True;False;True;False;True;True;False
https://aruma.com.au;;;['1300538746', '1800068064', '133677'];[];['https://linkedin.com/company/arumaservices/'];['https://facebook.com/arumaservices/'];['https://instagram.com/arumaservices/'];False;False;False;False;False;False;True;True;True;False
